moderator,est,se,tval,pval,ci95
age_diff_gmc,0.001,0.001,1.264,0.234," [-0.001, 0.002]"
prop_female_gen,-0.001,0.001,-1.564,0.173," [-0.003, 0.001]"
culture_powerdistance_gmc,-0.002,0.001,-1.807,0.108," [-0.004, 0]"
culture_individualism_gmc,0,0.001,-0.367,0.738," [-0.003, 0.002]"
culture_mtas_gmc,0.002,0.001,1.319,0.258," [-0.002, 0.005]"
culture_uncertaintyavoidance_gmc,-0.001,0.001,-1.748,0.108," [-0.003, 0]"
culture_longtermorientation_gmc,0,0.002,0.089,0.933," [-0.005, 0.005]"
culture_indulgence_gmc,0.001,0.001,0.616,0.56," [-0.002, 0.003]"
dvBuckpassing,-0.029,0.058,-0.498,0.634," [-0.167, 0.109]"
dvDependence,0.073,0.084,0.87,0.399," [-0.108, 0.254]"
sample_type_1Community,-0.007,0.024,-0.281,0.788," [-0.066, 0.053]"
sample_type_1Convenience,0.095,0.037,2.553,0.043," [0.004, 0.186]"
sample_type_1Professional,0.025,0.039,0.645,0.538," [-0.065, 0.114]"
year_of_publication,0.001,0.002,0.586,0.597," [-0.005, 0.008]"
